,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1804,Purplle,2011.0,Mumbai,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Spring Marketing Capital, Verlinvest","$45,000,000",Series E,2021,2,2,Wellness/Beauty,Dollars,45000000.0
1805,FloBiz,2019.0,Bangalore,India’s first neobusiness platform,Elevation Capital,"$10,000,000",Series A,2021,1,1,Technology,Dollars,10000000.0
1806,Jeevam Health,2020.0,Delhi,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,Y Combinator,"$1,500,000",Series D,2021,1,2,Automotive,Dollars,1500000.0
1807,NewLink Group,2016.0,Beijing,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,Bain Capital,"$200,000,000",Pre-Seed,2021,1,2,Technology,Dollars,200000000.0
1808,OZiva,2016.0,Mumbai,OZiva is a plant-based Clean Nutrition Brand.,"F-Prime Capital, Eight Roads Ventures India","$12,000,000",Series B,2021,2,2,Automotive,Dollars,12000000.0
1809,Blive,2004.0,Panaji,B: Live is an electric vehicle tourism startup.,"Mumbai Angels, DNA Entertainment Networks","$1,000,000",Seed,2021,2,2,Logistics,Dollars,1000000.0
1810,Nazara Technologies,2000.0,Mumbai,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Hornbill Capital Advisers, Plutus Wealth Management","$30,000,000",Seed,2021,2,1,Gaming,Dollars,30000000.0
1811,Euler Motors,2018.0,Delhi,Electric Light Commercial Vehicle,"ADB Ventures, Jetty Ventures","$2,600,000",Series A,2021,2,1,Automotive,Dollars,2600000.0
1812,Pixxel,2019.0,Bangalore,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Techstars, Ryan Johnson","$7,300,000",Seed,2021,2,2,Technology,Dollars,7300000.0
1813,Prescinto,2016.0,Gujarat,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,"Venture Catalysts, 9Unicorns Accelerator Fund","$3,500,000",Seed,2021,2,1,Energy,Dollars,3500000.0
1814,MyGlamm,2015.0,Mumbai,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Bessemer Venture Partners,"$20,000,000",Series C,2021,1,1,Wellness/Beauty,Dollars,20000000.0
1815,Chirrup,2020.0,Bangalore,Video integrated social-gaming platform,"Titan Capital, iSeed, First Cheque, 3.0 Fund.","$300,000",Series B,2021,4,3,Gaming,Dollars,300000.0
1816,Policybazaar,2008.0,Gurugram,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Falcon Edge Capital, White Oak Global Advisors","$75,000,000",Angel,2021,2,5,Finance,Dollars,75000000.0
1817,Livve Homes,2017.0,Bangalore,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Angel investors,"$5,000,000",Seed,2021,1,1,Logistics,Dollars,5000000.0
1818,Juicy Chemistry,2014.0,Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,Akya Ventures,"$6,300,000",Series A,2021,1,2,Automotive,Dollars,6300000.0
1819,Svasti Microfinance,2008.0,Mumbai,Svasti works with urban slum dwellers women microentrepreneurs.,"Kayenne Ventures, Nordic Microfinance Initiative","$4,000,000",Series D,2021,2,2,FinTech,Dollars,4000000.0
